theta_deg,mode,energy_keV,ff_cm2_g,pp_cm2_g,absorption_cm2_g,scattering_cm2_g,total_cm2_g
5.0,1,0.06007929696318238,1.6631630078117238e-5,3.0855305203331926e-7,1.6940183130150557e-5,1.0823301872882949e-9,1.6941265460337847e-5
5.0,1,0.060806664782438735,1.705525195881667e-5,3.080920836801568e-7,1.7363344042496826e-5,1.1092946667645756e-9,1.736445333716359e-5
5.0,1,0.061542838695827884,1.7491605672357858e-5,3.0763485127930486e-7,1.7799240523637164e-5,1.136961277312616e-9,1.7800377484914477e-5
5.0,1,0.062287925316939025,1.7941146601619814e-5,3.0718144608477956e-7,1.8248328047704593e-5,1.1653505577243903e-9,1.8249493398262318e-5
5.0,1,0.06304203255011036,1.8404348719245183e-5,3.0673196171270587e-7,1.871108068095789e-5,1.1944838089701506e-9,1.871227516476686e-5
5.0,1,0.06380526960605598,1.8881705389277182e-5,3.0628649420839754e-7,1.918799188348558e-5,1.2243831327758134e-9,1.9189216266618358e-5
5.0,1,0.06457774701768185,1.9373730223461775e-5,3.0584514211556267e-7,1.967957536557734e-5,1.2550714727461693e-9,1.9680830437050083e-5
5.0,1,0.06535957665609332,1.988095798175948e-5,3.0540800654780077e-7,2.018636598830728e-5,1.2865726581781633e-9,2.0187652560965457e-5
5.0,1,0.06615087174679644,2.040394552044131e-5,3.049751912624862e-7,2.0708920711703797e-5,1.3189114507690703e-9,2.0710239623154567e-5
5.0,1,0.06695174688609544,2.096720503809866e-5,3.0454680273580233e-7,2.1271751840834463e-5,1.352113594389293e-9,2.1273103954428854e-5
5.0,1,0.06776231805768865,2.1523272262380352e-5,3.0412295024742505e-7,2.1827395212627777e-5,1.3862058681087826e-9,2.1828781418495887e-5
5.0,1,0.06858270264946544,2.2073387817710824e-5,3.037037459550322e-7,2.2377091563665856e-5,1.4212161428774383e-9,2.2378512779808732e-5
5.0,1,0.06941301947050645,2.26659105273714e-5,3.0328930497952873e-7,2.296919983235093e-5,1.457173441853497e-9,2.2970657005792783e-5
5.0,1,0.07025338876828971,2.327691857769259e-5,3.0287974549877524e-7,2.3579798323191366e-5,1.494108005166434e-9,2.3581292431196534e-5
5.0,1,0.07110393224610495,2.3907007317459423e-5,3.0247518883309265e-7,2.4209482506292514e-5,1.5320513587069717e-9,2.4211014557651223e-5
5.0,1,0.07196477308067889,2.455799670150993e-5,3.020757595403361e-7,2.4860072461050265e-5,1.57103638789997e-9,2.4861643497438164e-5
5.0,1,0.07283603594001377,2.5230124018244273e-5,3.0168158551308e-7,2.5531805603757352e-5,1.6110974164891084e-9,2.5533416701173842e-5
5.0,1,0.073717847001442,2.592419528293634e-5,3.0129279807926196e-7,2.6225488081015603e-5,1.6522702908065854e-9,2.622714035130641e-5
5.0,1,0.07461033396989923,2.6641050854645586e-5,3.009095321063721e-7,2.694196038675196e-5,1.6945924700931921e-9,2.6943654979222053e-5
5.0,1,0.07551362609641882,2.743667699208233e-5,3.005319261096152e-7,2.7737208918191946e-5,1.7381031229298018e-9,2.7738947021314874e-5
5.0,1,0.07642785419685001,2.814665742629371e-5,3.0016012236395987e-7,2.844681754865767e-5,1.7828432305804729e-9,2.844860039188825e-5
5.0,1,0.07735315067080298,2.8937275235573076e-5,2.997942670202159e-7,2.923706950259329e-5,1.8288556978829864e-9,2.9238898358291173e-5
5.0,1,0.07828964952082297,2.975441450017659e-5,2.994345102256124e-7,3.0053849010402202e-5,1.876185471781405e-9,3.0055725195873983e-5
5.0,1,0.07923748637179683,3.05991122450535e-5,2.990810062488433e-7,3.0898193251302345e-5,1.9248796684353168e-9,3.0900118130970784e-5
5.0,1,0.08019679849059423,3.1472450460905596e-5,2.9873391360964475e-7,3.177118437451524e-5,1.974987709896765e-9,3.177315936222513e-5
5.0,1,0.08116772480594696,3.2375558136466936e-5,2.983933952136204e-7,3.267395153168055e-5,2.0265614700980836e-9,3.267597809315065e-5
5.0,1,0.08215040592856865,3.3309613464442333e-5,2.980596184920009e-7,3.360767308293434e-5,2.07965543193548e-9,3.360975273836627e-5
5.0,1,0.08314498417151822,3.427584609420586e-5,2.9773275554698195e-7,3.457357884975284e-5,2.134326855456938e-9,3.45757131766083e-5
5.0,1,0.08415160357080985,3.5275539609347464e-5,2.974129833024029e-7,3.5572952592649866e-5,2.190635959191682e-9,3.557514322860906e-5
5.0,1,0.08517040990627238,3.631003397458832e-5,2.971004836607578e-7,3.6607134458249084e-5,2.248646113839111e-9,3.6609383104362925e-5
5.0,1,0.08620155072266142,3.7380728222412566e-5,2.9679544366608643e-7,3.767752366607865e-5,2.308424051134193e-9,3.7679832090129786e-5
5.0,1,0.08724517535102687,3.848908319357546e-5,2.964980556735588e-7,3.878558124924902e-5,2.3700400877003395e-9,3.878795128933672e-5
5.0,1,0.08830143493033926,3.963662450838028e-5,2.9620851752563286e-7,3.9932833025905915e-5,2.4335683663444724e-9,3.993526659427226e-5
5.0,1,0.08937048242937787,4.082494557183014e-5,2.95927032735614e-7,4.112087260456575e-5,2.499087114593899e-9,4.112337169168035e-5
5.0,1,0.09045247266888386,4.205571081441183e-5,2.9565381067849e-7,4.235136462509032e-5,2.566678923355743e-9,4.2353931304013677e-5
5.0,1,0.09154756234398159,4.3330659096492045e-5,2.9538906678961105e-7,4.362604816328166e-5,2.636431046683974e-9,4.362868459432834e-5
5.0,1,0.09265591004687139,4.465160720978663e-5,2.95133022771755e-7,4.494674023255839e-5,2.7084357236679167e-9,4.494944866828206e-5
5.0,1,0.09377767628979708,4.6020453624515504e-5,2.9488590681068056e-7,4.6315339531326184e-5,2.7827905253980536e-9,4.631812232185158e-5
5.0,1,0.09491302352829155,4.7488640477562353e-5,2.946479537985171e-7,4.7783288431360874e-5,2.8595987285365875e-9,4.778614803008941e-5
5.0,1,0.09606211618470376,4.890986744345435e-5,2.944194055740833e-7,4.920428684902843e-5,2.938969717038551e-9,4.920722581874547e-5
