 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
 -3.60   2.2124   1.976  -4.293 48.822  3.058  1.068  0.995 1.22E-02 1.01E-02 4.14E-12 6.67E-02 -6.446 -6.452
 -3.40   2.4112   1.971  -4.362 47.843  4.071  1.101  0.993 1.69E-02 1.48E-02 1.59E-11 7.08E-02 -6.322 -6.332
 -3.20   2.6095   1.963  -4.472 46.827  5.622  1.152  0.989 2.46E-02 2.24E-02 6.00E-11 7.46E-02 -6.172 -6.190
 -3.00   2.8070   1.952  -4.632 45.764  7.847  1.225  0.984 3.52E-02 3.30E-02 2.24E-10 7.80E-02 -5.997 -6.027
 -2.80   3.0032   1.935  -4.876 44.627 11.026  1.332  0.977 5.16E-02 4.94E-02 8.19E-10 8.02E-02 -5.796 -5.848
 -2.60   3.1980   1.912  -5.220 43.396 15.295  1.475  0.968 7.41E-02 7.19E-02 2.90E-09 8.18E-02 -5.569 -5.652
 -2.40   3.3904   1.879  -5.711 42.032 20.754  1.666  0.956 1.06E-01 1.04E-01 9.82E-09 8.19E-02 -5.320 -5.440
 -2.20   3.5804   1.836  -6.373 40.513 27.555  1.874  0.941 1.50E-01 1.47E-01 3.14E-08 8.06E-02 -5.065 -5.218
 -2.00   3.7675   1.782  -7.197 38.854 33.655  2.151  0.927 2.03E-01 2.01E-01 9.47E-08 7.70E-02 -4.837 -4.993
 -1.80   3.9515   1.718  -8.195 37.053 39.511  2.402  0.912 2.68E-01 2.66E-01 2.64E-07 7.14E-02 -4.648 -4.787
 -1.60   4.1329   1.646  -9.304 35.171 42.841  2.645  0.901 3.39E-01 3.38E-01 6.90E-07 6.37E-02 -4.485 -4.605
 -1.40   4.3122   1.569 -10.505 33.231 46.215  2.763  0.893 4.17E-01 4.15E-01 1.65E-06 5.53E-02 -4.325 -4.435
 -1.20   4.4910   1.494 -11.729 31.298 47.791  2.810  0.890 4.94E-01 4.92E-01 3.69E-06 4.71E-02 -4.157 -4.251
 -1.00   4.6688   1.420 -12.887 29.471 43.785  2.837  0.892 5.69E-01 5.68E-01 7.75E-06 3.78E-02 -3.983 -4.062
 -0.80   4.8479   1.353 -13.957 27.762 40.500  2.762  0.897 6.37E-01 6.36E-01 1.55E-05 3.01E-02 -3.805 -3.870
 -0.60   5.0278   1.292 -14.917 26.195 36.307  2.625  0.906 6.99E-01 6.98E-01 2.95E-05 2.28E-02 -3.625 -3.678
 -0.40   5.2101   1.241 -15.752 24.777 31.908  2.465  0.916 7.52E-01 7.51E-01 5.42E-05 1.73E-02 -3.443 -3.485
 -0.20   5.3943   1.196 -16.459 23.510 27.568  2.288  0.926 7.97E-01 7.97E-01 9.62E-05 1.29E-02 -3.260 -3.293
  0.00   5.5803   1.158 -17.062 22.366 23.441  2.100  0.937 8.36E-01 8.35E-01 1.67E-04 8.74E-03 -3.074 -3.101
  0.20   5.7688   1.128 -17.556 21.344 19.942  1.935  0.947 8.66E-01 8.66E-01 2.84E-04 6.46E-03 -2.886 -2.908
  0.40   5.9590   1.103 -17.957 20.430 16.939  1.785  0.955 8.91E-01 8.91E-01 4.74E-04 4.77E-03 -2.696 -2.716
  0.60   6.1509   1.082 -18.291 19.593 14.409  1.654  0.963 9.12E-01 9.11E-01 7.79E-04 3.59E-03 -2.507 -2.524
  0.80   6.3441   1.066 -18.560 18.830 12.341  1.544  0.969 9.27E-01 9.27E-01 1.26E-03 2.86E-03 -2.317 -2.333
  1.00   6.5384   1.052 -18.788 18.113 10.623  1.449  0.975 9.39E-01 9.39E-01 2.00E-03 2.34E-03 -2.128 -2.142
  1.20   6.7337   1.040 -18.972 17.448  9.362  1.381  0.978 9.47E-01 9.47E-01 3.11E-03 2.62E-03 -1.938 -1.952
  1.40   6.9297   1.031 -19.134 16.809  8.417  1.334  0.981 9.51E-01 9.51E-01 4.70E-03 3.63E-03 -1.749 -1.762
  1.60   7.1261   1.022 -19.248 16.221  4.553  1.298  0.983 9.52E-01 9.51E-01 6.80E-03 6.12E-03 -1.559 -1.572
  1.80   7.3227   1.014 -19.399 15.601  7.808  1.309  0.983 9.47E-01 9.46E-01 9.23E-03 1.16E-02 -1.369 -1.383
  2.00   7.5192   1.006 -19.560 14.973  7.809  1.335  0.982 9.36E-01 9.35E-01 1.13E-02 2.30E-02 -1.179 -1.195
  2.20   7.7154   0.997 -19.749 14.321  8.155  1.393  0.980 9.16E-01 9.16E-01 1.20E-02 4.47E-02 -0.991 -1.010
  2.40   7.9114   0.988 -19.979 13.631  8.822  1.483  0.979 8.87E-01 8.87E-01 9.93E-03 8.11E-02 -0.800 -0.822
  2.60   8.1074   0.979 -20.263 12.889  9.679  1.605  0.981 8.46E-01 8.45E-01 5.69E-03 1.33E-01 -0.598 -0.623
  2.80   8.3045   0.973 -20.607 12.087 10.658  1.743  0.992 7.92E-01 7.92E-01 1.83E-03 1.97E-01 -0.346 -0.371
  3.00   8.5049   0.974 -21.006 11.224 11.450  1.891  1.017 7.26E-01 7.26E-01 2.42E-04 2.66E-01  0.068  0.040
  3.20   8.7130   0.992 -21.444 10.305 11.913  2.036  1.071 6.53E-01 6.52E-01 7.85E-06 3.42E-01  0.882  0.845
  3.40   8.9363   1.047 -21.889  9.335 11.957  2.173  1.178 5.75E-01 5.75E-01 2.85E-08 4.20E-01  1.542  1.486
  3.60   9.1903   1.185 -22.281  8.320 11.679  2.275  1.399 5.00E-01 5.00E-01 3.25E-12 4.95E-01  1.601  1.537
     5.450    13.300
 -7.40  -1.3828   1.998  -3.606 65.798  1.157  1.001  1.000 5.29E-04 7.60E-05 0.00E+00 8.88E-03 -6.689 -6.689
 -7.20  -1.1829   1.998  -3.606 64.879  1.157  1.001  1.000 5.99E-04 8.84E-05 0.00E+00 1.02E-02 -6.689 -6.689
 -7.00  -0.9830   1.997  -3.605 63.960  1.157  1.001  0.999 6.78E-04 1.03E-04 0.00E+00 1.16E-02 -6.688 -6.688
 -6.80  -0.7831   1.997  -3.604 63.042  1.158  1.001  0.999 7.65E-04 1.21E-04 0.00E+00 1.33E-02 -6.688 -6.688
 -6.60  -0.5832   1.996  -3.603 62.124  1.158  1.001  0.999 8.59E-04 1.41E-04 0.00E+00 1.51E-02 -6.688 -6.688
 -6.40  -0.3834   1.996  -3.602 61.206  1.159  1.001  0.999 9.63E-04 1.67E-04 0.00E+00 1.72E-02 -6.687 -6.687
 -6.20  -0.1835   1.995  -3.601 60.287  1.160  1.002  0.999 1.08E-03 1.94E-04 0.00E+00 1.95E-02 -6.686 -6.686
 -6.00   0.0163   1.994  -3.600 59.370  1.161  1.002  0.999 1.20E-03 2.30E-04 0.00E+00 2.21E-02 -6.685 -6.685
 -5.80   0.2162   1.994  -3.599 58.453  1.162  1.002  0.999 1.33E-03 2.70E-04 0.00E+00 2.48E-02 -6.683 -6.683
 -5.60   0.4160   1.993  -3.598 57.536  1.165  1.002  0.999 1.47E-03 3.24E-04 1.43E-19 2.79E-02 -6.680 -6.680
 -5.40   0.6158   1.992  -3.597 56.620  1.168  1.003  0.999 1.62E-03 3.83E-04 5.61E-19 3.11E-02 -6.675 -6.675
