 FILTERED output of ioneqmn.
    NRmax =  55,  NTmax =  21
                       thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
 -0.20   7.1888   1.872    -9.79  31.81   3.24  1.180  0.971 5.05E-02 5.05E-02 1.05E-08 1.36E-01  -4.749  -4.779
  0.00   7.3824   1.844    -9.95  30.80   4.06  1.237  0.964 6.69E-02 6.69E-02 3.39E-08 1.41E-01  -4.574  -4.602
  0.20   7.5744   1.811   -10.16  29.75   5.06  1.306  0.956 8.76E-02 8.76E-02 1.04E-07 1.46E-01  -4.402  -4.428
  0.40   7.7649   1.772   -10.42  28.66   6.30  1.363  0.948 1.13E-01 1.13E-01 3.00E-07 1.50E-01  -4.233  -4.258
  0.60   7.9537   1.726   -10.74  27.54   7.50  1.474  0.939 1.43E-01 1.43E-01 8.06E-07 1.53E-01  -4.067  -4.091
  0.80   8.1407   1.676   -11.12  26.38   8.77  1.561  0.931 1.76E-01 1.76E-01 1.97E-06 1.57E-01  -3.906  -3.930
  1.00   8.3263   1.621   -11.54  25.20   9.92  1.637  0.925 2.09E-01 2.09E-01 4.27E-06 1.63E-01  -3.741  -3.765
  1.20   8.5111   1.565   -12.00  24.00  10.83  1.705  0.921 2.38E-01 2.38E-01 7.90E-06 1.74E-01  -3.575  -3.599
  1.40   8.6958   1.511   -12.46  22.82  10.70  1.669  0.921 2.58E-01 2.58E-01 1.18E-05 1.94E-01  -3.393  -3.417
  1.60   8.8805   1.459   -12.94  21.67  11.76  1.746  0.929 2.66E-01 2.66E-01 1.33E-05 2.24E-01  -3.190  -3.214
  1.80   9.0674   1.415   -13.39  20.55  11.75  1.717  0.941 2.53E-01 2.53E-01 9.52E-06 2.70E-01  -2.957  -2.982
  2.00   9.2575   1.383   -13.80  19.50  11.48  1.644  0.961 2.19E-01 2.19E-01 3.52E-06 3.31E-01  -2.664  -2.689
  2.20   9.4522   1.367   -14.16  18.53  11.03  1.523  0.988 1.63E-01 1.63E-01 4.68E-07 4.05E-01  -2.326  -2.352
  2.40   9.6529   1.369   -14.43  17.65  10.43  1.347  1.018 9.43E-02 9.43E-02 1.25E-08 4.78E-01  -1.866  -1.893
  2.60   9.8589   1.388   -14.59  16.87   9.84  1.132  1.037 3.47E-02 3.47E-02 2.66E-11 5.21E-01  -1.250  -1.281
  2.80  10.0651   1.408   -14.62  16.22   8.51  0.862  1.012 5.27E-03 5.27E-03 1.01E-15 5.07E-01  -0.505  -0.549
  3.00  10.2580   1.385   -14.53  15.68   6.73  0.687  0.895 1.39E-04 1.39E-04 0.00E+00 4.34E-01   0.556   0.492
  3.20  10.4160   1.257   -14.44  15.16   4.67  0.772  0.695 1.48E-07 1.48E-07 0.00E+00 3.27E-01   1.909   1.819
