 Output of ioneqmn.

                       thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
 -5.60   2.2160   1.993    -1.43  53.49   1.53  1.002  1.000 1.43E-03 4.29E-04 0.00E+00 3.38E-02  -5.629  -5.629
 -5.40   2.4160   1.993    -1.43  52.58   1.53  1.003  1.000 1.54E-03 4.95E-04 0.00E+00 3.68E-02  -5.600  -5.600
 -5.20   2.6159   1.992    -1.43  51.66   1.53  1.003  1.000 1.65E-03 5.71E-04 0.00E+00 3.99E-02  -5.564  -5.565
 -5.00   2.8158   1.992    -1.43  50.75   1.53  1.003  1.000 1.78E-03 6.58E-04 0.00E+00 4.31E-02  -5.518  -5.522
 -4.80   3.0157   1.991    -1.42  49.84   1.53  1.003  1.000 1.92E-03 7.58E-04 0.00E+00 4.63E-02  -5.459  -5.466
 -4.60   3.2156   1.991    -1.42  48.92   1.53  1.003  1.000 2.06E-03 8.72E-04 0.00E+00 4.96E-02  -5.382  -5.395
 -4.40   3.4155   1.991    -1.42  48.01   1.53  1.003  0.999 2.22E-03 1.00E-03 0.00E+00 5.30E-02  -5.284  -5.308
 -4.20   3.6154   1.990    -1.42  47.09   1.53  1.003  0.999 2.38E-03 1.15E-03 0.00E+00 5.64E-02  -5.164  -5.203
 -4.00   3.8153   1.989    -1.42  46.18   1.53  1.004  0.999 2.54E-03 1.32E-03 0.00E+00 6.00E-02  -5.030  -5.082
 -3.80   4.0151   1.989    -1.42  45.27   1.53  1.004  0.999 2.71E-03 1.51E-03 0.00E+00 6.36E-02  -4.909  -4.965
 -3.60   4.2149   1.988    -1.42  44.35   1.53  1.004  0.999 2.89E-03 1.72E-03 0.00E+00 6.74E-02  -4.771  -4.833
 -3.40   4.4146   1.986    -1.42  43.44   1.53  1.005  0.999 3.09E-03 1.95E-03 1.10E-19 7.11E-02  -4.626  -4.698
 -3.20   4.6143   1.985    -1.42  42.53   1.53  1.005  0.999 3.31E-03 2.22E-03 4.30E-19 7.49E-02  -4.479  -4.558
 -3.00   4.8139   1.983    -1.42  41.62   1.53  1.006  0.999 3.56E-03 2.54E-03 1.68E-18 7.89E-02  -4.332  -4.417
 -2.80   5.0138   1.982    -1.42  40.71   1.53  1.007  0.999 3.83E-03 2.89E-03 6.53E-18 8.33E-02  -4.191  -4.276
 -2.60   5.2133   1.980    -1.43  39.79   1.53  1.008  0.999 4.12E-03 3.31E-03 2.55E-17 8.67E-02  -4.059  -4.138
 -2.40   5.4132   1.980    -1.43  38.88   1.53  1.008  0.999 4.45E-03 3.77E-03 9.87E-17 9.15E-02  -3.930  -4.004
