 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
  1.40   6.7703   1.132  -9.195 17.937 14.131  1.689  0.952 8.41E-01 8.14E-01 4.08E-04 1.71E-02  1.500  1.469
  1.60   6.9618   1.110  -9.491 17.126 12.600  1.586  0.962 8.63E-01 8.36E-01 6.80E-04 1.79E-02  1.638  1.610
  1.80   7.1552   1.093  -9.737 16.371 11.288  1.496  0.972 8.79E-01 8.52E-01 1.11E-03 2.01E-02  1.759  1.735
  2.00   7.3507   1.082  -9.944 15.662 10.185  1.420  0.983 8.90E-01 8.63E-01 1.80E-03 2.39E-02  1.854  1.833
  2.20   7.5485   1.076 -10.121 14.985  9.280  1.359  0.995 8.95E-01 8.68E-01 2.83E-03 2.99E-02  1.921  1.903
  2.40   7.7488   1.077 -10.276 14.329  8.563  1.314  1.010 8.93E-01 8.67E-01 4.34E-03 3.92E-02  1.928  1.912
  2.60   7.9525   1.086 -10.420 13.678  8.052  1.288  1.028 8.82E-01 8.58E-01 6.38E-03 5.40E-02  1.858  1.842
  2.80   8.1602   1.106 -10.568 13.012  7.776  1.289  1.051 8.58E-01 8.36E-01 8.80E-03 7.87E-02  1.754  1.734
  3.00   8.3726   1.138 -10.744 12.300  7.807  1.339  1.073 8.14E-01 7.95E-01 1.10E-02 1.22E-01  1.682  1.652
  3.20   8.5881   1.179 -10.992 11.488  8.244  1.473  1.078 7.36E-01 7.21E-01 1.15E-02 2.02E-01  1.687  1.640
  3.40   8.7998   1.211 -11.365 10.518  9.053  1.724  1.026 6.06E-01 5.96E-01 8.71E-03 3.37E-01  1.738  1.679
  3.60   8.9935   1.194 -11.906  9.363 10.033  2.028  0.900 4.21E-01 4.16E-01 3.71E-03 5.29E-01  2.289  2.207
     5.400    12.600
 -7.40  -1.5826   1.999   0.613 64.173  2.277  1.001  1.000 3.52E-04 4.89E-05 0.00E+00 5.92E-03 -4.559 -4.559
 -7.20  -1.3827   1.999   0.613 63.253  2.277  1.001  1.000 4.00E-04 5.68E-05 0.00E+00 6.81E-03 -4.551 -4.551
 -7.00  -1.1827   1.999   0.613 62.333  2.276  1.001  1.000 4.53E-04 6.61E-05 0.00E+00 7.82E-03 -4.539 -4.541
 -6.80  -0.9828   1.998   0.613 61.413  2.276  1.001  1.000 5.12E-04 7.69E-05 0.00E+00 8.96E-03 -4.526 -4.529
 -6.60  -0.7829   1.998   0.613 60.493  2.275  1.002  1.000 5.77E-04 8.94E-05 0.00E+00 1.02E-02 -4.510 -4.514
 -6.40  -0.5830   1.997   0.613 59.574  2.275  1.002  0.999 6.48E-04 1.04E-04 0.00E+00 1.17E-02 -4.482 -4.490
 -6.20  -0.3831   1.997   0.613 58.654  2.274  1.002  0.999 7.24E-04 1.21E-04 0.00E+00 1.33E-02 -4.442 -4.457
 -6.00  -0.1832   1.996   0.613 57.735  2.274  1.002  0.999 8.07E-04 1.41E-04 0.00E+00 1.51E-02 -4.381 -4.409
 -5.80   0.0167   1.996   0.613 56.816  2.273  1.003  0.999 8.95E-04 1.64E-04 0.00E+00 1.71E-02 -4.290 -4.341
 -5.60   0.2165   1.995   0.612 55.896  2.272  1.003  0.999 9.90E-04 1.90E-04 0.00E+00 1.94E-02 -4.183 -4.248
 -5.40   0.4164   1.995   0.612 54.977  2.271  1.003  0.999 1.09E-03 2.22E-04 0.00E+00 2.18E-02 -4.101 -4.153
 -5.20   0.6163   1.994   0.612 54.058  2.271  1.003  0.999 1.20E-03 2.59E-04 0.00E+00 2.44E-02 -4.015 -4.049
 -5.00   0.8161   1.993   0.612 53.139  2.270  1.004  0.999 1.31E-03 3.03E-04 0.00E+00 2.72E-02 -3.881 -3.908
 -4.80   1.0160   1.993   0.611 52.221  2.270  1.004  0.999 1.43E-03 3.55E-04 0.00E+00 3.02E-02 -3.723 -3.750
 -4.60   1.2158   1.992   0.611 51.302  2.270  1.004  0.999 1.56E-03 4.17E-04 2.21E-19 3.34E-02 -3.548 -3.577
 -4.40   1.4157   1.991   0.610 50.384  2.270  1.005  0.999 1.70E-03 4.93E-04 8.70E-19 3.68E-02 -3.374 -3.399
 -4.20   1.6155   1.991   0.609 49.468  2.271  1.005  0.999 1.86E-03 5.86E-04 3.42E-18 4.01E-02 -3.203 -3.228
 -4.00   1.8154   1.990   0.608 48.550  2.273  1.006  0.999 2.04E-03 7.04E-04 1.34E-17 4.36E-02 -3.026 -3.050
 -3.80   2.0152   1.989   0.607 47.632  2.277  1.006  0.999 2.26E-03 8.51E-04 5.27E-17 4.73E-02 -2.848 -2.871
 -3.60   2.2150   1.988   0.605 46.714  2.284  1.007  0.999 2.51E-03 1.04E-03 2.07E-16 5.10E-02 -2.669 -2.693
 -3.40   2.4148   1.987   0.602 45.796  2.296  1.008  0.999 2.83E-03 1.30E-03 8.10E-16 5.47E-02 -2.491 -2.514
 -3.20   2.6146   1.986   0.599 44.877  2.315  1.010  0.999 3.24E-03 1.65E-03 3.17E-15 5.85E-02 -2.311 -2.336
 -3.00   2.8143   1.985   0.593 43.955  2.346  1.011  0.998 3.79E-03 2.12E-03 1.23E-14 6.27E-02 -2.131 -2.158
 -2.80   3.0140   1.984   0.586 43.034  2.393  1.014  0.998 4.54E-03 2.80E-03 4.80E-14 6.67E-02 -1.947 -1.977
 -2.60   3.2135   1.981   0.576 42.109  2.468  1.019  0.997 5.58E-03 3.76E-03 1.87E-13 7.07E-02 -1.758 -1.792
 -2.40   3.4129   1.979   0.560 41.182  2.584  1.026  0.996 7.08E-03 5.17E-03 7.22E-13 7.48E-02 -1.569 -1.601
 -2.20   3.6120   1.975   0.538 40.248  2.763  1.036  0.995 9.26E-03 7.25E-03 2.78E-12 7.89E-02 -1.384 -1.420
